"","x1","z1","x2","z2","c1","c2"
"390",35.62,17.96,31.78,17.96,"ww","ww"
"391",31.78,17.96,31.78,17.96,"ww","wh"
"393",31.78,17.08,31.78,15.48,"dw","ww"
"394",-23.54,2.82,-27.52,10.34,"ww","ww"
"395",-27.52,10.34,-32.74,19.7,"ww","wi"
"397",-38.28,24.38,-27.9,5.42,"iw","ww"
"398",-27.9,5.42,-19.88,-9.8,"ww","wi"
"400",-19.28,-5.18,-23.54,2.82,"iw","ww"
"401",-2.84,-9.8,-19.72,-9.8,"ww","wi"
"403",-19.2,-5.18,-11.56,-5.18,"iw","ww"
"404",-11.56,-5.18,-5.28,-5.18,"ww","wh"
"406",-4.22,-5.18,-2.84,-5.18,"dw","ww"
"407",-2.84,-5.18,-2.84,-9.8,"ww","ww"
"408",-26.32,24.44,-16.88,24.44,"ww","ww"
"409",-16.88,24.44,-16.88,21.44,"ww","wi"
"411",-16.88,20.28,-16.88,19.72,"iw","ww"
"412",-16.88,19.72,-32.7,19.72,"ww","wi"
"414",-38.26,24.44,-26.32,24.44,"iw","ww"
"415",35.3,-2.7,35.3,-3.88,"ww","ww"
"416",35.3,-3.88,23.64,-6.92,"ww","ww"
"417",23.64,-6.92,23.64,-2.7,"ww","ww"
"418",23.64,-2.7,28.98,-2.7,"ww","wi"
"420",30.12,-2.7,35.3,-2.7,"iw","ww"
"421",3.44,-9.8,3.44,-5.14,"ww","ww"
"422",3.44,-5.14,9.68,-5.14,"ww","wi"
"424",10.84,-5.14,11.92,-5.14,"iw","ww"
"425",11.92,-5.14,11.92,-9.8,"ww","ww"
"426",11.92,-9.8,3.44,-9.8,"ww","ww"
"427",-6,7.62,-6,7.82,"ww","wd"
"429",-6,8.66,-6,9,"hw","ww"
"430",-6,9,-7.72,9,"ww","ww"
"431",-7.72,9,-7.72,7.61,"ww","ww"
"432",-7.72,7.61,-6,7.62,"ww","ww"
"433",-6,5.62,-6,5.82,"ww","wd"
"435",-6,6.66,-6,7,"hw","ww"
"436",-6,7,-7.72,7,"ww","ww"
"437",-7.72,7,-7.72,5.61,"ww","ww"
"438",-7.72,5.61,-6,5.62,"ww","ww"
