"idx","x1","z1","x2","z2","c1","c2","A1","B1","C1","xmn","xmx","zmn","zmx"
111,5.1,17.34,5.1,17.72,"iw","wi",0.379999999999999,0,1.93799999999999,5.099,5.101,17.339,17.721
112,0.82,17.72,0.82,15.12,"iw","ww",-2.6,0,-2.132,0.819,0.821,15.119,17.721
113,0.82,12.58,5.1,12.58,"ww","ww",0,-4.28,-53.8424,0.819,5.101,12.579,12.581
114,5.1,12.58,5.1,13.9,"ww","wd",1.32,0,6.732,5.099,5.101,12.579,13.901
115,5.1,14.88,5.1,15.04,"hw","ww",0.159999999999998,0,0.815999999999992,5.099,5.101,14.879,15.041
116,5.1,15.04,0.82,15.04,"ww","ww",0,4.28,64.3712,0.819,5.101,15.039,15.041
117,0.82,15.04,0.82,12.58,"ww","ww",-2.46,0,-2.0172,0.819,0.821,12.579,15.041
118,0,7.24,5.1,7.24,"ww","wi",0,-5.1,-36.924,-0.001,5.101,7.239,7.241
119,5.1,12.58,0,12.58,"iw","ww",0,5.1,64.158,-0.001,5.101,12.579,12.581
120,0,12.58,0,7.24,"ww","ww",-5.34,0,0,-0.001,0.001,7.239,12.581
121,0,2,3.36,2,"ww","ww",0,-3.36,-6.72,-0.001,3.361,1.999,2.001
122,3.36,2,3.36,4.82,"ww","wi",2.82,0,9.4752,3.359,3.361,1.999,4.821
123,0,4.82,0,2,"iw","ww",-2.82,0,0,-0.001,0.001,1.999,4.821
124,3.36,2,5.1,2,"ww","ww",0,-1.74,-3.48,3.359,5.101,1.999,2.001
125,5.1,2,5.1,3.7,"ww","wd",1.7,0,8.67,5.099,5.101,1.999,3.701
126,5.1,4.58,5.1,4.82,"hw","ww",0.24,0,1.224,5.099,5.101,4.579,4.821
127,5.1,4.82,3.36,4.82,"ww","ww",0,1.74,8.3868,3.359,5.101,4.819,4.821
128,3.36,4.82,3.36,2,"ww","ww",-2.82,0,-9.4752,3.359,3.361,1.999,4.821
129,3.74,0.8,5.1,0.8,"ww","ww",0,-1.36,-1.088,3.739,5.101,0.799,0.801
130,5.1,0.8,5.1,1.2,"ww","wd",0.4,0,2.04,5.099,5.101,0.799,1.201
131,5.1,2,3.74,2,"ww","ww",0,1.36,2.72,3.739,5.101,1.999,2.001
132,3.74,2,3.74,1.88,"ww","wh",-0.12,0,-0.4488,3.739,3.741,1.879,2.001
133,3.74,1.24,3.74,0.8,"dw","ww",-0.44,0,-1.6456,3.739,3.741,0.799,1.241
134,1.1,-1.34,3.74,-1.34,"ww","ww",0,-2.64,3.5376,1.099,3.741,-1.341,-1.339
135,3.74,-1.34,3.74,1.16,"ww","wd",2.5,0,9.35,3.739,3.741,-1.341,1.161
136,3.74,1.89,3.74,2,"hw","ww",0.11,0,0.4114,3.739,3.741,1.889,2.001
137,3.74,2,1.1,2,"ww","ww",0,2.64,5.28,1.099,3.741,1.999,2.001
138,1.1,2,1.1,-1.34,"ww","ww",-3.34,0,-3.674,1.099,1.101,-1.341,2.001
139,3.74,-1.82,5.1,-1.82,"ww","ww",0,-1.36,2.4752,3.739,5.101,-1.821,-1.819
140,5.1,-1.82,5.1,-0.85,"ww","wh",0.97,0,4.947,5.099,5.101,-1.821,-0.849
141,5.1,0.78,3.74,0.78,"ww","ww",0,1.36,1.0608,3.739,5.101,0.779,0.781
142,3.74,0.78,3.74,-1.82,"ww","ww",-2.6,0,-9.724,3.739,3.741,-1.821,0.781
143,0,-3.08,1.1,-3.08,"ww","ww",0,-1.1,3.388,-0.001,1.101,-3.081,-3.079
144,1.1,-3.08,1.1,2,"ww","ww",5.08,0,5.588,1.099,1.101,-3.081,2.001
145,1.1,2,0,2,"ww","ww",0,1.1,2.2,-0.001,1.101,1.999,2.001
146,0,2,0,-3.08,"ww","ww",-5.08,0,0,-0.001,0.001,-3.081,2.001
147,3.74,-3.08,5.1,-3.08,"ww","ww",0,-1.36,4.1888,3.739,5.101,-3.081,-3.079
148,5.1,-3.08,5.1,-2.94,"ww","wh",0.14,0,0.714000000000001,5.099,5.101,-3.081,-2.939
149,5.1,-2.27,5.1,-1.82,"dw","ww",0.45,0,2.295,5.099,5.101,-2.271,-1.819
150,5.1,-1.82,3.74,-1.82,"ww","ww",0,1.36,-2.4752,3.739,5.101,-1.821,-1.819
151,3.74,-1.82,3.74,-2.27,"ww","wd",-0.45,0,-1.683,3.739,3.741,-2.271,-1.819
152,3.74,-2.91,3.74,-3.08,"hw","ww",-0.17,0,-0.6358,3.739,3.741,-3.081,-2.909
153,1.08,-3.1,3.74,-3.1,"ww","ww",0,-2.66,8.246,1.079,3.741,-3.101,-3.099
154,3.74,-3.1,3.74,-2.9,"ww","wh",0.2,0,0.748000000000001,3.739,3.741,-3.101,-2.899
155,3.74,-2.24,3.74,-1.34,"dw","ww",0.9,0,3.366,3.739,3.741,-2.241,-1.339
156,3.74,-1.34,1.08,-1.34,"ww","ww",0,2.66,-3.5644,1.079,3.741,-1.341,-1.339
157,1.08,-1.34,1.08,-3.1,"ww","ww",-1.76,0,-1.9008,1.079,1.081,-3.101,-1.339
158,1.94,-7.04,1.94,-4.74,"ww","ww",2.3,0,4.462,1.939,1.941,-7.041,-4.739
159,1.94,-4.74,1.04,-4.74,"ww","wh",0,0.9,-4.266,1.039,1.941,-4.741,-4.739
160,0.14,-4.74,-0.84,-4.74,"dw","ww",0,0.98,-4.6452,-0.841,0.141,-4.741,-4.739
161,-0.84,-4.74,-0.84,-7.04,"ww","ww",-2.3,0,1.932,-0.841,-0.839,-7.041,-4.739
162,-0.84,-7.04,1.94,-7.04,"ww","ww",0,-2.78,19.5712,-0.841,1.941,-7.041,-7.039
163,3.44,-7.04,3.44,-4.82,"ww","ww",2.22,0,7.6368,3.439,3.441,-7.041,-4.819
164,3.44,-4.82,2.81,-4.82,"ww","wh",0,0.63,-3.0366,2.809,3.441,-4.821,-4.819
