"lid","tid","aid","sid","idx","x1","z1","x2","z2","c1","c2","A1","B1","C1","xmn","xmx","zmn","zmx","det","xi","zi"
2120,1,5,37,1,-38.28,24.5,-19.8,-9.82,"ww","ww",-34.32,-18.48,861.0096,-38.281,-19.799,-9.821,24.501,-33.5591384919749,-23.3051440710238,-3.31044672524154
2120,1,5,37,330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501,-33.5419856339267,-23.2893787380022,-3.267916615653
2121,1,0,9,41,-19.21,3.97,-20.76,6.81,"ww","wd",2.84,1.55,-48.4029,-20.761,-19.209,3.969,6.811,-3.29297184361114,-20.0362064451379,5.48382342205917
2121,1,0,37,32,-16.06,0.32,-20.56,-1.99,"ww","ww",-2.31,4.5,38.5386,-20.561,-16.059,-1.991,0.321,5.66488238566088,-16.0746253027638,0.312492344581235
2121,1,1,10,43,-21.4,7.96,-24.92,6.1,"ww","ww",-1.86,3.52,67.8232,-24.921,-21.399,6.099,7.961,-0.785711595863109,-22.7499684512775,7.24666439790452
2121,1,1,10,49,-24.93,6.11,-21.38,7.96,"ww","ww",1.85,-3.55,-67.811,-24.931,-21.379,6.109,7.961,0.794045478347787,-22.7501359847231,7.24598547274995
2121,1,1,32,43,-21.4,7.96,-24.92,6.1,"ww","ww",-1.86,3.52,67.8232,-24.921,-21.399,6.099,7.961,1.55628852400679,-22.4241814247515,7.41881322442107
2121,1,1,32,49,-24.93,6.11,-21.38,7.96,"ww","ww",1.85,-3.55,-67.811,-24.931,-21.379,6.109,7.961,-1.55047554968807,-22.4191734267658,7.41845891844598
2121,1,1,35,9,-21.73,12.5,-16.1,2.1,"ww","ww",-10.4,-5.63,155.617,-21.731,-16.099,2.099,12.501,12.4714902223044,-19.0033125705634,7.46313512146701
2121,1,2,8,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,-2.48623155347699,-23.9057012843762,4.22166904514118
2121,1,2,8,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,15.0969245439875,-23.8512813997837,4.19153529669837
2121,1,2,33,48,-28.45,12.65,-24.93,6.11,"ww","ww",-6.54,-3.52,141.535,-28.451,-24.929,6.109,12.651,6.97779339167267,-25.1353595696962,6.4915487459697
2121,1,2,33,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,-25.9382005854521,-25.1147020536413,6.53320350094747
2121,1,2,37,45,-21.38,7.96,-24.28,13.37,"ww","wd",5.41,2.9,-92.5818,-24.281,-21.379,7.959,13.371,-5.27599750059798,-22.8081531700145,10.6242443619926
2121,1,3,7,44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101,-3.6965079206451,-23.2216419745834,2.95489254552473
2121,1,3,7,331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481,22.4327539363939,-23.1939574137346,2.97322793934938
